All states during the game:
============================================================

State 0: Pieces: [[7, 0, 2], [7, 5, 6], [0, 5, 12], [0, 7, 8]]
State 1: Pieces: [[6, 5, 6], [7, 0, 2], [0, 5, 12], [0, 7, 8]]
State 2: Pieces: [[6, 5, 6], [7, 0, 2], [6, 7, 8], [0, 5, 12]]
State 3: Pieces: [[5, 6, 6], [7, 0, 2], [0, 5, 12], [6, 7, 8]]
State 4: Pieces: [[5, 6, 6], [7, 0, 2], [0, 7, 8], [0, 5, 12]]
State 5: Pieces: [[4, 5, 6], [7, 0, 2], [0, 5, 12], [0, 7, 8]]
State 6: Pieces: [[4, 5, 6], [7, 0, 2], [1, 5, 12], [0, 7, 8]]
State 7: Pieces: [[3, 4, 6], [7, 0, 2], [1, 5, 12], [0, 7, 8]]
State 8: Pieces: [[3, 4, 6], [7, 0, 2], [3, 7, 8], [1, 5, 12]]
State 9: Pieces: [[4, 4, 6], [7, 0, 2], [1, 5, 12], [3, 7, 8]]
State 10: Pieces: [[4, 4, 6], [7, 0, 2], [4, 7, 8], [1, 5, 12]]
State 11: Pieces: [[3, 4, 6], [7, 0, 2], [1, 5, 12], [4, 7, 8]]
State 12: Pieces: [[3, 4, 6], [7, 0, 2], [3, 7, 8], [1, 5, 12]]
State 13: Pieces: [[4, 4, 6], [7, 0, 2], [1, 5, 12], [3, 7, 8]]
State 14: Pieces: [[4, 4, 6], [7, 0, 2], [4, 7, 8], [1, 5, 12]]
State 15: Pieces: [[3, 4, 6], [7, 0, 2], [1, 5, 12], [4, 7, 8]]
State 16: Pieces: [[3, 4, 6], [7, 0, 2], [3, 7, 8], [1, 5, 12]]
