All states during the game:
============================================================

State 0: Pieces: [[7, 0, 2], [7, 5, 6], [0, 5, 12], [0, 7, 8]]
State 1: Pieces: [[6, 5, 6], [7, 0, 2], [0, 5, 12], [0, 7, 8]]
State 2: Pieces: [[6, 5, 6], [7, 0, 2], [6, 7, 8], [0, 5, 12]]
State 3: Pieces: [[5, 6, 6], [7, 0, 2], [0, 5, 12], [6, 7, 8]]
State 4: Pieces: [[5, 6, 6], [7, 0, 2], [6, 1, 8], [0, 5, 12]]
State 5: Pieces: [[0, 0, 2], [5, 6, 6], [0, 5, 12], [6, 1, 8]]
State 6: Pieces: [[5, 6, 6], [0, 0, 2], [1, 4, 12], [6, 1, 8]]
State 7: Pieces: [[5, 5, 6], [0, 0, 2], [1, 4, 12], [6, 1, 8]]
State 8: Pieces: [[5, 5, 6], [0, 0, 2], [4, 1, 8], [1, 4, 12]]
State 9: Pieces: [[5, 4, 6], [0, 0, 2], [1, 4, 12], [4, 1, 8]]
State 10: Pieces: [[5, 4, 6], [0, 0, 2], [1, 3, 12], [4, 1, 8]]
State 11: Pieces: [[6, 0, 2], [5, 4, 6], [1, 3, 12], [4, 1, 8]]
State 12: Pieces: [[5, 4, 6], [6, 0, 2], [0, 4, 12], [4, 1, 8]]
State 13: Pieces: [[5, 3, 6], [6, 0, 2], [0, 4, 12], [4, 1, 8]]
State 14: Pieces: [[5, 3, 6], [6, 0, 2], [4, 5, 8], [0, 4, 12]]
State 15: Pieces: [[6, 2, 2], [5, 3, 6], [0, 4, 12], [4, 5, 8]]
State 16: Pieces: [[5, 3, 6], [6, 2, 2], [0, 3, 12], [4, 5, 8]]
State 17: Pieces: [[7, 2, 2], [5, 3, 6], [0, 3, 12], [4, 5, 8]]
State 18: Pieces: [[5, 3, 6], [7, 2, 2], [4, 0, 8], [0, 3, 12]]
State 19: Pieces: [[7, 3, 2], [5, 3, 6], [0, 3, 12], [4, 0, 8]]
State 20: Pieces: [[5, 3, 6], [7, 3, 2], [2, 0, 8], [0, 3, 12]]
State 21: Pieces: [[4, 4, 6], [7, 3, 2], [0, 3, 12], [2, 0, 8]]
State 22: Pieces: [[4, 4, 6], [7, 3, 2], [1, 4, 12], [2, 0, 8]]
State 23: Pieces: [[7, 1, 2], [4, 4, 6], [1, 4, 12], [2, 0, 8]]
State 24: Pieces: [[4, 4, 6], [7, 1, 2], [6, 0, 8], [1, 4, 12]]
State 25: Pieces: [[5, 1, 2], [4, 4, 6], [1, 4, 12], [6, 0, 8]]
State 26: Pieces: [[4, 4, 6], [5, 1, 2], [6, 2, 8], [1, 4, 12]]
State 27: Pieces: [[1, 1, 2], [4, 4, 6], [1, 4, 12], [6, 2, 8]]
State 28: Pieces: [[4, 4, 6], [1, 1, 2], [0, 3, 12], [6, 2, 8]]
State 29: Pieces: [[0, 1, 2], [4, 4, 6], [0, 3, 12], [6, 2, 8]]
State 30: Pieces: [[4, 4, 6], [0, 1, 2], [0, 2, 8], [0, 3, 12]]
State 31: Pieces: [[5, 1, 2], [4, 4, 6], [0, 3, 12], [0, 2, 8]]
State 32: Pieces: [[4, 4, 6], [5, 1, 2], [4, 2, 8], [0, 3, 12]]
State 33: Pieces: [[3, 4, 6], [5, 1, 2], [0, 3, 12], [4, 2, 8]]
State 34: Pieces: [[3, 4, 6], [5, 1, 2], [6, 2, 8], [0, 3, 12]]
State 35: Pieces: [[0, 1, 2], [3, 4, 6], [0, 3, 12], [6, 2, 8]]
State 36: Pieces: [[3, 4, 6], [0, 1, 2], [0, 2, 8], [0, 3, 12]]
State 37: Pieces: [[5, 1, 2], [3, 4, 6], [0, 3, 12], [0, 2, 8]]
State 38: Pieces: [[3, 4, 6], [5, 1, 2], [6, 2, 8], [0, 3, 12]]
State 39: Pieces: [[0, 1, 2], [3, 4, 6], [0, 3, 12], [6, 2, 8]]
State 40: Pieces: [[3, 4, 6], [0, 1, 2], [0, 2, 8], [0, 3, 12]]
State 41: Pieces: [[5, 1, 2], [3, 4, 6], [0, 3, 12], [0, 2, 8]]
State 42: Pieces: [[3, 4, 6], [5, 1, 2], [6, 2, 8], [0, 3, 12]]
