All states during the game:
============================================================

State 0: Pieces: [[7, 0, 2], [7, 5, 6], [0, 5, 12], [0, 7, 8]]
State 1: Pieces: [[6, 5, 6], [7, 0, 2], [0, 5, 12], [0, 7, 8]]
State 2: Pieces: [[6, 5, 6], [7, 0, 2], [0, 4, 12], [0, 7, 8]]
State 3: Pieces: [[0, 0, 2], [6, 5, 6], [0, 4, 12], [0, 7, 8]]
State 4: Pieces: [[6, 5, 6], [0, 0, 2], [1, 3, 12], [0, 7, 8]]
State 5: Pieces: [[0, 7, 2], [6, 5, 6], [1, 3, 12]]
State 6: Pieces: [[6, 5, 6], [0, 7, 2], [2, 2, 12]]
State 7: Pieces: [[5, 4, 6], [0, 7, 2], [2, 2, 12]]
State 8: Pieces: [[5, 4, 6], [0, 7, 2], [3, 3, 12]]
State 9: Pieces: [[5, 3, 6], [0, 7, 2], [3, 3, 12]]
State 10: Pieces: [[5, 3, 6], [0, 7, 2], [3, 4, 12]]
State 11: Pieces: [[0, 0, 2], [5, 3, 6], [3, 4, 12]]
State 12: Pieces: [[5, 3, 6], [0, 0, 2], [3, 3, 12]]
State 13: Pieces: [[5, 4, 6], [0, 0, 2], [3, 3, 12]]
State 14: Pieces: [[5, 4, 6], [0, 0, 2], [3, 4, 12]]
State 15: Pieces: [[5, 3, 6], [0, 0, 2], [3, 4, 12]]
State 16: Pieces: [[5, 3, 6], [0, 0, 2], [3, 3, 12]]
State 17: Pieces: [[5, 4, 6], [0, 0, 2], [3, 3, 12]]
State 18: Pieces: [[5, 4, 6], [0, 0, 2], [3, 4, 12]]
State 19: Pieces: [[5, 3, 6], [0, 0, 2], [3, 4, 12]]
