All states during the game:
============================================================

State 0: Pieces: [[7, 0, 2], [7, 5, 6], [0, 5, 12], [0, 7, 8]]
State 1: Pieces: [[0, 0, 2], [7, 5, 6], [0, 5, 12], [0, 7, 8]]
State 2: Pieces: [[7, 5, 6], [0, 0, 2], [1, 5, 12], [0, 7, 8]]
State 3: Pieces: [[0, 7, 2], [7, 5, 6], [1, 5, 12]]
State 4: Pieces: [[7, 5, 6], [0, 7, 2], [2, 5, 12]]
State 5: Pieces: [[6, 4, 6], [0, 7, 2], [2, 5, 12]]
State 6: Pieces: [[6, 4, 6], [0, 7, 2], [1, 5, 12]]
State 7: Pieces: [[2, 7, 2], [6, 4, 6], [1, 5, 12]]
State 8: Pieces: [[6, 4, 6], [2, 7, 2], [0, 5, 12]]
State 9: Pieces: [[1, 7, 2], [6, 4, 6], [0, 5, 12]]
State 10: Pieces: [[6, 4, 6], [1, 7, 2], [0, 6, 12]]
State 11: Pieces: [[1, 2, 2], [6, 4, 6], [0, 6, 12]]
State 12: Pieces: [[6, 4, 6], [1, 2, 2], [0, 5, 12]]
State 13: Pieces: [[5, 3, 6], [1, 2, 2], [0, 5, 12]]
State 14: Pieces: [[5, 3, 6], [1, 2, 2], [0, 4, 12]]
State 15: Pieces: [[4, 2, 6], [1, 2, 2], [0, 4, 12]]
State 16: Pieces: [[4, 2, 6], [1, 2, 2], [0, 3, 12]]
State 17: Pieces: [[1, 7, 2], [4, 2, 6], [0, 3, 12]]
State 18: Pieces: [[4, 2, 6], [1, 7, 2], [0, 2, 12]]
State 19: Pieces: [[3, 1, 6], [1, 7, 2], [0, 2, 12]]
State 20: Pieces: [[3, 1, 6], [1, 7, 2], [0, 1, 12]]
State 21: Pieces: [[2, 2, 6], [1, 7, 2], [0, 1, 12]]
State 22: Pieces: [[2, 2, 6], [1, 7, 2], [0, 1, 12]]
State 23: Pieces: [[1, 6, 2], [2, 2, 6], [0, 1, 12]]
State 24: Pieces: [[1, 6, 2], [2, 2, 6], [0, 1, 12]]
State 25: Pieces: [[1, 5, 2], [2, 2, 6], [0, 1, 12]]
State 26: Pieces: [[1, 5, 2], [2, 2, 6], [0, 1, 12]]
State 27: Pieces: [[1, 4, 2], [2, 2, 6], [0, 1, 12]]
State 28: Pieces: [[1, 4, 2], [2, 2, 6], [0, 1, 12]]
State 29: Pieces: [[1, 2, 2], [2, 2, 6], [0, 1, 12]]
State 30: Pieces: [[1, 2, 2], [2, 2, 6], [0, 1, 12]]
State 31: Pieces: [[2, 1, 6], [1, 2, 2], [0, 1, 12]]
State 32: Pieces: [[2, 1, 6], [1, 2, 2], [0, 1, 12]]
State 33: Pieces: [[2, 2, 6], [1, 2, 2], [0, 1, 12]]
