All states during the game:
============================================================

State 0: Pieces: [[7, 0, 2], [7, 5, 6], [0, 5, 12], [0, 7, 8]]
State 1: Pieces: [[0, 0, 2], [7, 5, 6], [0, 5, 12], [0, 7, 8]]
State 2: Pieces: [[7, 5, 6], [0, 0, 2], [1, 6, 12], [0, 7, 8]]
State 3: Pieces: [[1, 0, 2], [7, 5, 6], [1, 6, 12], [0, 7, 8]]
State 4: Pieces: [[7, 5, 6], [1, 0, 2], [2, 5, 12], [0, 7, 8]]
State 5: Pieces: [[2, 0, 2], [7, 5, 6], [2, 5, 12], [0, 7, 8]]
State 6: Pieces: [[7, 5, 6], [2, 0, 2], [1, 4, 12], [0, 7, 8]]
State 7: Pieces: [[1, 0, 2], [7, 5, 6], [1, 4, 12], [0, 7, 8]]
State 8: Pieces: [[7, 5, 6], [1, 0, 2], [2, 3, 12], [0, 7, 8]]
State 9: Pieces: [[2, 0, 2], [7, 5, 6], [2, 3, 12], [0, 7, 8]]
State 10: Pieces: [[7, 5, 6], [2, 0, 2], [1, 2, 12], [0, 7, 8]]
State 11: Pieces: [[2, 5, 2], [7, 5, 6], [1, 2, 12], [0, 7, 8]]
State 12: Pieces: [[7, 5, 6], [2, 5, 2], [0, 4, 8], [1, 2, 12]]
State 13: Pieces: [[5, 5, 2], [7, 5, 6], [1, 2, 12], [0, 4, 8]]
State 14: Pieces: [[7, 5, 6], [5, 5, 2], [4, 4, 8], [1, 2, 12]]
State 15: Pieces: [[6, 5, 6], [5, 5, 2], [1, 2, 12], [4, 4, 8]]
State 16: Pieces: [[6, 5, 6], [5, 5, 2], [1, 3, 12], [4, 4, 8]]
State 17: Pieces: [[5, 3, 2], [6, 5, 6], [1, 3, 12], [4, 4, 8]]
State 18: Pieces: [[6, 5, 6], [5, 3, 2], [0, 4, 12], [4, 4, 8]]
State 19: Pieces: [[5, 5, 6], [5, 3, 2], [0, 4, 12], [4, 4, 8]]
State 20: Pieces: [[5, 5, 6], [5, 3, 2], [4, 2, 8], [0, 4, 12]]
State 21: Pieces: [[5, 0, 2], [5, 5, 6], [0, 4, 12], [4, 2, 8]]
State 22: Pieces: [[5, 5, 6], [5, 0, 2], [4, 1, 8], [0, 4, 12]]
State 23: Pieces: [[0, 0, 2], [5, 5, 6], [0, 4, 12], [4, 1, 8]]
State 24: Pieces: [[5, 5, 6], [0, 0, 2], [1, 4, 12], [4, 1, 8]]
State 25: Pieces: [[1, 0, 2], [5, 5, 6], [1, 4, 12], [4, 1, 8]]
State 26: Pieces: [[5, 5, 6], [1, 0, 2], [0, 5, 12], [4, 1, 8]]
State 27: Pieces: [[0, 0, 2], [5, 5, 6], [0, 5, 12], [4, 1, 8]]
State 28: Pieces: [[5, 5, 6], [0, 0, 2], [1, 6, 12], [4, 1, 8]]
State 29: Pieces: [[1, 0, 2], [5, 5, 6], [1, 6, 12], [4, 1, 8]]
State 30: Pieces: [[5, 5, 6], [1, 0, 2], [0, 5, 12], [4, 1, 8]]
State 31: Pieces: [[0, 0, 2], [5, 5, 6], [0, 5, 12], [4, 1, 8]]
State 32: Pieces: [[5, 5, 6], [0, 0, 2], [1, 6, 12], [4, 1, 8]]
State 33: Pieces: [[1, 0, 2], [5, 5, 6], [1, 6, 12], [4, 1, 8]]
State 34: Pieces: [[5, 5, 6], [1, 0, 2], [0, 5, 12], [4, 1, 8]]
