All states during the game:
============================================================

State 0: Pieces: [[7, 0, 2], [7, 5, 6], [0, 5, 12], [0, 7, 8]]
State 1: Pieces: [[1, 0, 2], [7, 5, 6], [0, 5, 12], [0, 7, 8]]
State 2: Pieces: [[7, 5, 6], [1, 0, 2], [2, 7, 8], [0, 5, 12]]
State 3: Pieces: [[6, 6, 6], [1, 0, 2], [0, 5, 12], [2, 7, 8]]
State 4: Pieces: [[6, 6, 6], [1, 0, 2], [2, 6, 8], [0, 5, 12]]
State 5: Pieces: [[5, 5, 6], [1, 0, 2], [0, 5, 12], [2, 6, 8]]
State 6: Pieces: [[5, 5, 6], [1, 0, 2], [1, 6, 8], [0, 5, 12]]
State 7: Pieces: [[0, 0, 2], [5, 5, 6], [0, 5, 12], [1, 6, 8]]
State 8: Pieces: [[5, 5, 6], [0, 0, 2], [1, 5, 12], [1, 6, 8]]
State 9: Pieces: [[4, 4, 6], [0, 0, 2], [1, 5, 12], [1, 6, 8]]
State 10: Pieces: [[4, 4, 6], [0, 0, 2], [0, 6, 8], [1, 5, 12]]
State 11: Pieces: [[1, 0, 2], [4, 4, 6], [1, 5, 12], [0, 6, 8]]
State 12: Pieces: [[4, 4, 6], [1, 0, 2], [2, 5, 12], [0, 6, 8]]
State 13: Pieces: [[2, 0, 2], [4, 4, 6], [2, 5, 12], [0, 6, 8]]
State 14: Pieces: [[4, 4, 6], [2, 0, 2], [1, 5, 12], [0, 6, 8]]
State 15: Pieces: [[1, 0, 2], [4, 4, 6], [1, 5, 12], [0, 6, 8]]
State 16: Pieces: [[4, 4, 6], [1, 0, 2], [2, 5, 12], [0, 6, 8]]
State 17: Pieces: [[2, 0, 2], [4, 4, 6], [2, 5, 12], [0, 6, 8]]
State 18: Pieces: [[4, 4, 6], [2, 0, 2], [1, 5, 12], [0, 6, 8]]
State 19: Pieces: [[1, 0, 2], [4, 4, 6], [1, 5, 12], [0, 6, 8]]
