All states during the game:
============================================================

State 0: Pieces: [[7, 0, 2], [7, 5, 6], [0, 5, 12], [0, 7, 8]]
State 1: Pieces: [[0, 0, 2], [7, 5, 6], [0, 5, 12], [0, 7, 8]]
State 2: Pieces: [[7, 5, 6], [0, 0, 2], [1, 5, 12], [0, 7, 8]]
State 3: Pieces: [[0, 7, 2], [7, 5, 6], [1, 5, 12]]
State 4: Pieces: [[7, 5, 6], [0, 7, 2], [2, 5, 12]]
State 5: Pieces: [[2, 7, 2], [7, 5, 6], [2, 5, 12]]
State 6: Pieces: [[7, 5, 6], [2, 7, 2], [3, 5, 12]]
State 7: Pieces: [[3, 7, 2], [7, 5, 6], [3, 5, 12]]
State 8: Pieces: [[7, 5, 6], [3, 7, 2], [2, 4, 12]]
State 9: Pieces: [[2, 7, 2], [7, 5, 6], [2, 4, 12]]
State 10: Pieces: [[7, 5, 6], [2, 7, 2], [1, 5, 12]]
State 11: Pieces: [[1, 7, 2], [7, 5, 6], [1, 5, 12]]
State 12: Pieces: [[7, 5, 6], [1, 7, 2], [2, 5, 12]]
State 13: Pieces: [[2, 7, 2], [7, 5, 6], [2, 5, 12]]
State 14: Pieces: [[7, 5, 6], [2, 7, 2], [3, 5, 12]]
State 15: Pieces: [[3, 7, 2], [7, 5, 6], [3, 5, 12]]
State 16: Pieces: [[7, 5, 6], [3, 7, 2], [2, 4, 12]]
State 17: Pieces: [[2, 7, 2], [7, 5, 6], [2, 4, 12]]
State 18: Pieces: [[7, 5, 6], [2, 7, 2], [1, 5, 12]]
State 19: Pieces: [[1, 7, 2], [7, 5, 6], [1, 5, 12]]
State 20: Pieces: [[7, 5, 6], [1, 7, 2], [2, 5, 12]]
State 21: Pieces: [[2, 7, 2], [7, 5, 6], [2, 5, 12]]
